sector,year,month,quarter,year_month,avg_close,avg_daily_return,avg_volatility,avg_rsi,max_drawdown,total_volume,ticker_count,avg_ma50,avg_ma200
Healthcare,2021,7,3,2021-07,89.926,0.343,0.899,66.9119,-5.8554,659235200,2,88.1855,82.9326
Healthcare,2021,8,3,2021-08,95.1053,0.2069,1.1406,70.6636,-8.6275,1123255000,2,90.0559,84.7852
Healthcare,2021,9,3,2021-09,90.7754,-0.3253,1.2657,25.2774,-14.6966,676695100,2,92.6707,86.666
Healthcare,2021,10,4,2021-10,87.6245,0.0645,0.8564,42.1755,-18.0484,607882700,2,91.5757,87.5302
Healthcare,2021,11,4,2021-11,90.9114,0.45,1.5364,62.3536,-13.4471,1174508800,2,89.3436,88.1721
Healthcare,2021,12,4,2021-12,96.1133,0.4462,1.9504,62.9077,-11.3732,1232001700,2,90.7289,89.1818
Healthcare,2022,1,1,2022-01,96.4316,-0.2358,1.7755,42.48,-15.8531,943746400,2,94.475,90.6415
Healthcare,2022,2,1,2022-02,94.0877,-0.3962,1.3111,38.2495,-24.3928,789420100,2,96.1903,91.6163
Healthcare,2022,3,1,2022-03,97.3325,0.3857,1.6657,61.3915,-24.7382,898212000,2,95.4339,92.26
Healthcare,2022,4,2,2022-04,101.0645,-0.075,1.5265,51.0632,-20.823,646351100,2,96.9035,93.584
Healthcare,2022,5,2,2022-05,99.7358,0.2164,1.5089,50.6436,-20.4775,735957600,2,99.3579,94.6126
Healthcare,2022,6,2,2022-06,98.8399,-0.0387,1.4529,44.7057,-22.8309,608479800,2,99.9917,95.1321
Healthcare,2022,7,3,2022-07,99.2485,-0.1115,1.5462,50.277,-15.8321,454868200,2,99.504,95.9785
Healthcare,2022,8,3,2022-08,95.0573,-0.3885,1.1441,37.4748,-24.4048,569156600,2,98.3872,96.9611
Healthcare,2022,9,3,2022-09,92.7111,-0.0399,1.329,43.0555,-26.8617,545002800,2,95.8255,97.2514
Healthcare,2022,10,4,2022-10,92.8976,0.3081,1.3001,51.1098,-30.2211,606233500,2,93.211,96.8655
Healthcare,2022,11,4,2022-11,98.2854,0.274,1.3993,64.525,-21.4981,557826400,2,93.8083,96.7802
Healthcare,2022,12,4,2022-12,101.4914,0.0416,1.2063,60.629,-16.2051,552960600,2,97.2033,97.4348
Healthcare,2023,1,1,2023-01,97.0738,-0.5317,1.2749,28.7175,-19.3285,683293000,2,99.7992,97.7023
Healthcare,2023,2,1,2023-02,90.7538,-0.3685,1.1948,32.1697,-24.8487,568765200,2,97.7195,96.9908
Healthcare,2023,3,1,2023-03,86.5495,0.0409,0.9865,38.6846,-27.0345,689791500,2,92.13,95.745
Healthcare,2023,4,2,2023-04,91.349,0.0249,1.0777,58.9839,-28.4423,533717200,2,88.9197,94.6663
